id,steps,average heartrate,average stress,average sleep start,duration,average midsleep,average awake time
201,14101.758620689656,70.3103448275862,27.06896551724138,22:31,9.591111111111111,03:14,08:13
202,4212.2,75.1,22.033333333333335,23:06,7.898965517241379,03:01,07:10
203,8332.407407407407,88.07407407407408,33.51851851851852,22:28,7.629047619047619,02:16,06:14
204,6125.9,75.35,38.0,,,,
205,8278.962962962964,80.55555555555556,30.703703703703702,23:01,8.295652173913044,03:10,07:23
206,10717.387096774193,82.29032258064517,27.322580645161292,23:49,7.0055555555555555,03:25,06:57
207,9813.814814814816,80.66666666666667,23.48148148148148,00:07,6.863846153846154,03:26,06:52
208,5070.739130434783,86.8695652173913,29.347826086956523,23:43,8.15952380952381,03:45,07:58
209,8666.111111111111,79.88888888888889,28.85185185185185,23:36,7.826956521739131,03:25,07:18
210,6568.357142857143,76.64285714285714,22.5,23:40,7.072592592592592,03:15,06:52
211,7763.666666666667,83.82926829268293,25.175,23:05,7.300909090909091,02:43,06:38
213,7117.0,84.39285714285714,29.214285714285715,23:00,8.898333333333333,03:29,07:54
214,3866.4285714285716,88.28571428571429,32.785714285714285,23:25,6.791538461538462,02:50,06:11
215,4941.6551724137935,89.27586206896552,42.51724137931034,23:20,6.606923076923077,02:36,05:49
216,8415.12,82.28,38.76,00:33,7.626666666666667,04:23,08:10
217,12031.703703703704,79.81481481481481,30.703703703703702,23:49,6.315833333333333,03:04,06:19
218,7323.133333333333,61.5,23.0,22:10,9.345454545454546,02:54,07:37
219,9315.8,78.13333333333334,25.233333333333334,22:47,8.070689655172414,02:55,06:53
220,5896.518518518518,87.11111111111111,30.0,22:18,8.354615384615384,02:22,06:27
221,5456.433333333333,75.06666666666666,32.63333333333333,23:12,7.556551724137932,03:01,06:49
222,7992.074074074074,77.96,26.76,22:34,7.817142857142857,02:31,06:22
223,3359.9655172413795,94.34482758620689,49.241379310344826,20:44,8.866666666666667,01:08,05:35
224,9071.333333333334,84.3913043478261,28.17391304347826,23:04,7.927692307692308,03:18,07:09
225,14570.72,80.32,21.4,23:10,7.583333333333333,02:58,07:01
227,6432.733333333334,70.96666666666667,30.0,23:29,8.363214285714287,03:49,07:59
228,11852.607142857143,78.5,25.285714285714285,00:22,7.170869565217392,03:55,07:32
229,6519.518518518518,80.79166666666667,32.541666666666664,22:33,7.946923076923077,02:31,06:40
