id,steps,average heartrate,average stress,average sleep start,duration,average midsleep,average awake time
201,10195.545454545454,67.27272727272727,22.272727272727273,22:33,11.47111111111111,04:20,10:14
202,4407.615384615385,75.46153846153847,19.76923076923077,23:11,9.353636363636364,04:05,08:44
203,7583.083333333333,85.08333333333333,28.166666666666668,22:10,8.257000000000001,02:23,06:30
204,6212.8,72.0,32.2,,,,
205,5897.6,78.2,23.6,23:14,8.675,03:42,08:05
206,11980.454545454546,88.0,34.54545454545455,00:45,7.395,04:22,08:07
207,8854.818181818182,82.63636363636364,27.363636363636363,01:25,7.726000000000001,05:12,09:11
208,5883.0,88.0,29.727272727272727,23:53,9.515555555555556,04:33,09:25
209,8044.727272727273,82.6,32.7,22:24,9.148888888888889,03:05,07:46
210,5542.727272727273,79.45454545454545,26.727272727272727,00:33,6.832222222222223,03:53,07:26
211,9123.75,92.5,31.266666666666666,22:19,8.32,03:00,07:00
213,6676.454545454545,83.27272727272727,27.363636363636363,23:41,8.804545454545455,04:16,08:32
214,3827.8333333333335,89.0,31.0,23:49,8.722727272727273,04:11,08:39
215,3335.0,83.63636363636364,30.181818181818183,23:23,8.794,03:47,08:13
216,9957.416666666666,84.83333333333333,43.25,01:00,7.699999999999999,05:00,08:48
217,13570.181818181818,82.72727272727273,33.81818181818182,23:54,6.433,03:11,06:17
218,6575.0,62.5,20.25,22:44,9.4,02:58,07:30
219,9144.181818181818,78.9090909090909,24.545454545454547,23:12,8.298,03:24,07:42
220,9597.0,86.66666666666667,27.333333333333332,00:29,7.725,04:00,07:30
221,3064.6363636363635,74.63636363636364,30.545454545454547,23:17,8.306363636363637,03:22,07:39
222,7610.875,78.5,28.75,22:15,8.825,02:30,06:45
223,2957.5,90.91666666666667,45.416666666666664,21:23,9.089166666666667,01:44,06:30
224,8104.0,86.28571428571429,33.142857142857146,22:39,8.42,02:39,06:58
225,16577.75,82.83333333333333,24.25,01:13,6.9911111111111115,04:59,08:20
227,4795.25,69.83333333333333,27.833333333333332,00:55,8.430833333333334,05:06,09:17
228,13805.727272727272,82.45454545454545,27.181818181818183,02:00,7.343333333333334,05:40,09:20
229,5611.888888888889,80.0,26.375,23:58,7.095,03:31,07:05
